id,gender,age_o,dec_o,field,imprelig,from,income,go_out,sports,gaming,theater,music,shopping,clubbing
0,0,27,0,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
1,0,22,0,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
2,0,22,1,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
3,0,23,1,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
4,0,24,1,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
5,0,25,1,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
6,0,30,0,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
7,0,27,0,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
8,0,28,1,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
9,0,24,0,Law,4,Chicago,"69,487.00",1,9,1,1,9,8,5
10,0,27,0,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
11,0,22,0,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
12,0,22,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
13,0,23,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
14,0,24,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
15,0,25,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
16,0,30,0,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
17,0,27,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
18,0,28,1,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
19,0,24,0,law,5,Alabama,"65,929.00",1,3,5,9,8,3,8
20,0,27,0,Economics,4,Connecticut,,1,3,4,7,5,8,5
21,0,22,0,Economics,4,Connecticut,,1,3,4,7,5,8,5
22,0,22,1,Economics,4,Connecticut,,1,3,4,7,5,8,5
23,0,23,1,Economics,4,Connecticut,,1,3,4,7,5,8,5
24,0,24,1,Economics,4,Connecticut,,1,3,4,7,5,8,5
25,0,25,1,Economics,4,Connecticut,,1,3,4,7,5,8,5
26,0,30,0,Economics,4,Connecticut,,1,3,4,7,5,8,5
27,0,27,0,Economics,4,Connecticut,,1,3,4,7,5,8,5
28,0,28,1,Economics,4,Connecticut,,1,3,4,7,5,8,5
29,0,24,0,Economics,4,Connecticut,,1,3,4,7,5,8,5
30,0,27,0,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
31,0,22,0,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
32,0,22,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
33,0,23,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
34,0,24,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
35,0,25,1,Law,1,Texas,"37,754.00",1,1,5,9,7,1,7
